source_file,survey_type,table_code,table_title,base,country,country_std,category,response_option,sample_n,sample_n_raw,value,unit
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,"유명 인플루언서, 연예인 등의 여행 후기",2600.0,(2600),26.78779617310995,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,전통문화/역사,2600.0,(2600),19.13701770863294,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,자연 경관,2600.0,(2600),26.390359054459505,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,"음악, 영화, 드라마 등 문화콘텐츠/연예인",2600.0,(2600),21.451607663120946,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,관광 관련 공공기관이 제작한 국가 브랜드 홍보 영상,2600.0,(2600),21.786396450497076,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,계절/기후,2600.0,(2600),18.16082896036746,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,해당 국가에서만 판매하는 상품 쇼핑,2600.0,(2600),7.8045249229717335,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,건축/도시 디자인,2600.0,(2600),13.434928577191469,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,"웰니스 관광(스파, 디톡스 여행 등)",2600.0,(2600),15.942827487526815,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,치안/안전,2600.0,(2600),11.372412557808891,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,이동거리/비행시간,2600.0,(2600),9.651254033864639,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,항공 노선(직항 및 경유 등),2600.0,(2600),8.910257674473137,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,"행사/이벤트 체험(공연, 콘서트, 축제, 박람회 등)",2600.0,(2600),12.56450276572406,%
