country,table_id,indicator,category,item,value,unit,base,source_page,extraction_method,ocr_confidence,verification_status,notes
대만,1-16,호감도,한국어,5점 척도 평균(점),3.87,score(1-5),175.0,"201,202",easyocr+label_targeted_row_lookup,0.5026,auto_extracted,
대만,1-16,호감도,전반적 만족도,5점 척도 평균(점),3.88,score(1-5),750.0,"201,202",easyocr+label_targeted_row_lookup,0.7096,auto_extracted,
대만,1-33,관심도,,본인 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.49,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.4512,auto_extracted,
대만,1-33,관심도,,본인 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.45,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.9993,auto_extracted,
대만,1-33,관심도,,자국민 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.54,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.8484,auto_extracted,
대만,1-33,관심도,,자국민 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.51,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.9996,auto_extracted,
대만,1-33,관심도,,본인 소비지출 의향 변화 (1년 전 대비) - 5점 척도 평균(점),3.34,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.9851,auto_extracted,
대만,1-33,관심도,,본인 소비지출 의향 변화 (1년 후 예상) - 5점 척도 평균(점),3.31,score(1-5),750.0,236,easyocr+label_targeted_row_lookup,0.9969,auto_extracted,
대만,1-35,인식변화,,매우 부정적으로 변함,0.3,%,750.0,238,easyocr+label_targeted_row_lookup,0.9956,auto_extracted,
대만,1-35,인식변화,,약간 부정적으로 변함,1.7,%,750.0,238,easyocr+label_targeted_row_lookup,0.5949,auto_extracted,
대만,1-35,인식변화,,변화 없음,37.0,%,750.0,238,easyocr+label_targeted_row_lookup,0.99,auto_extracted,
대만,1-35,인식변화,,약간 긍정적으로 변함,46.5,%,750.0,238,easyocr+label_targeted_row_lookup,0.9997,auto_extracted,
대만,1-35,인식변화,,매우 긍정적으로 변함,14.5,%,750.0,238,easyocr+label_targeted_row_lookup,0.9999,auto_extracted,
대만,1-35,인식변화,,5점 척도 평균(점),3.73,score(1-5),750.0,238,easyocr+label_targeted_row_lookup,0.5658,auto_extracted,
대만,1-41,관광경험,,한국 관광 - 구매(방문) 경험률(%),55.7,%,750.0,241,easyocr+label_targeted_row_lookup,0.9998,auto_extracted,
대만,1-41,관광경험,,한국 관광 - 평균 구매(방문) 횟수(회),1.33,회,750.0,241,easyocr+label_targeted_row_lookup,0.9973,auto_extracted,
태국,1-16,호감도,드라마,5점 척도 평균(점),4.04,score(1-5),446.0,"261,262",easyocr+label_targeted_row_lookup,0.9987,auto_extracted,
태국,1-16,호감도,예능,5점 척도 평균(점),3.91,score(1-5),456.0,"261,262",easyocr+label_targeted_row_lookup,0.6296,auto_extracted,
태국,1-16,호감도,영화,5점 척도 평균(점),4.01,score(1-5),456.0,"261,262",easyocr+label_targeted_row_lookup,0.9754,auto_extracted,
태국,1-16,호감도,음악,5점 척도 평균(점),3.99,score(1-5),449.0,"261,262",easyocr+label_targeted_row_lookup,0.8959,auto_extracted,
태국,1-16,호감도,애니메이션,5점 척도 평균(점),4.02,score(1-5),447.0,"261,262",easyocr+label_targeted_row_lookup,0.8684,auto_extracted,
태국,1-16,호감도,출판물,5점 척도 평균(점),3.99,score(1-5),369.0,"261,262",easyocr+label_targeted_row_lookup,0.7448,auto_extracted,
태국,1-16,호감도,웹툰,5점 척도 평균(점),4.22,score(1-5),442.0,"261,262",easyocr+label_targeted_row_lookup,0.8169,auto_extracted,
태국,1-16,호감도,게임,5점 척도 평균(점),4.02,score(1-5),437.0,"261,262",easyocr+label_targeted_row_lookup,0.9991,auto_extracted,
태국,1-16,호감도,패션,5점 척도 평균(점),4.03,score(1-5),446.0,"261,262",easyocr+label_targeted_row_lookup,0.906,auto_extracted,
태국,1-16,호감도,뷰티,5점 척도 평균(점),4.1,score(1-5),454.0,"261,262",easyocr+label_targeted_row_lookup,0.9963,auto_extracted,
태국,1-16,호감도,음식,5점 척도 평균(점),3.98,score(1-5),451.0,"261,262",easyocr+label_targeted_row_lookup,0.9989,auto_extracted,
태국,1-16,호감도,한국어,5점 척도 평균(점),4.28,score(1-5),252.0,"261,262",easyocr+label_targeted_row_lookup,0.5583,auto_extracted,
태국,1-16,호감도,전반적 만족도,5점 척도 평균(점),4.07,score(1-5),850.0,"261,262",easyocr+label_targeted_row_lookup,0.9983,auto_extracted,
태국,1-33,관심도,,본인 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.69,score(1-5),850.0,296,easyocr+label_targeted_row_lookup,0.7783,auto_extracted,
태국,1-33,관심도,,본인 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.65,score(1-5),850.0,296,easyocr+label_targeted_row_lookup,0.5885,auto_extracted,
태국,1-33,관심도,,자국민 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.67,score(1-5),850.0,296,easyocr+label_targeted_row_lookup,0.609,auto_extracted,
태국,1-33,관심도,,자국민 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.74,score(1-5),850.0,296,easyocr+label_targeted_row_lookup,0.9991,auto_extracted,
태국,1-33,관심도,,본인 소비지출 의향 변화 (1년 전 대비) - 5점 척도 평균(점),3.51,score(1-5),850.0,296,easyocr+label_targeted_row_lookup,0.999,auto_extracted,
태국,1-33,관심도,,본인 소비지출 의향 변화 (1년 후 예상) - 5점 척도 평균(점),3.52,score(1-5),850.0,296,easyocr+label_targeted_row_lookup,0.9988,auto_extracted,
태국,1-35,인식변화,,매우 부정적으로 변함,0.5,%,850.0,298,easyocr+label_targeted_row_lookup,0.9247,auto_extracted,
태국,1-35,인식변화,,약간 부정적으로 변함,1.9,%,850.0,298,easyocr+label_targeted_row_lookup,0.8758,auto_extracted,
태국,1-35,인식변화,,변화 없음,25.0,%,850.0,298,easyocr+label_targeted_row_lookup,0.9997,auto_extracted,
태국,1-35,인식변화,,약간 긍정적으로 변함,45.2,%,850.0,298,easyocr+label_targeted_row_lookup,0.9923,auto_extracted,
태국,1-35,인식변화,,매우 긍정적으로 변함,27.4,%,850.0,298,easyocr+label_targeted_row_lookup,0.9742,auto_extracted,
태국,1-35,인식변화,,5점 척도 평균(점),3.97,score(1-5),850.0,298,easyocr+label_targeted_row_lookup,0.7296,auto_extracted,
태국,1-41,관광경험,,한국 관광 - 구매(방문) 경험률(%),47.5,%,850.0,301,easyocr+label_targeted_row_lookup,0.9397,auto_extracted,
태국,1-41,관광경험,,한국 관광 - 평균 구매(방문) 횟수(회),1.33,회,850.0,301,easyocr+label_targeted_row_lookup,0.7113,auto_extracted,
말레이시아,1-16,호감도,드라마,5점 척도 평균(점),4.05,score(1-5),424.0,"321,322",easyocr+label_targeted_row_lookup,0.9997,auto_extracted,
말레이시아,1-16,호감도,예능,5점 척도 평균(점),4.03,score(1-5),455.0,"321,322",easyocr+label_targeted_row_lookup,0.9497,auto_extracted,
말레이시아,1-16,호감도,영화,5점 척도 평균(점),4.06,score(1-5),421.0,"321,322",easyocr+label_targeted_row_lookup,0.9678,auto_extracted,
말레이시아,1-16,호감도,음악,5점 척도 평균(점),3.98,score(1-5),417.0,"321,322",easyocr+label_targeted_row_lookup,0.8153,auto_extracted,
말레이시아,1-16,호감도,애니메이션,5점 척도 평균(점),3.9,score(1-5),380.0,"321,322",easyocr+label_targeted_row_lookup,0.9674,auto_extracted,
말레이시아,1-16,호감도,출판물,5점 척도 평균(점),3.87,score(1-5),196.0,"321,322",easyocr+label_targeted_row_lookup,0.603,auto_extracted,
말레이시아,1-16,호감도,웹툰,5점 척도 평균(점),4.1,score(1-5),352.0,"321,322",easyocr+label_targeted_row_lookup,0.6291,auto_extracted,
말레이시아,1-16,호감도,게임,5점 척도 평균(점),3.98,score(1-5),281.0,"321,322",easyocr+label_targeted_row_lookup,0.9999,auto_extracted,
말레이시아,1-16,호감도,패션,5점 척도 평균(점),3.91,score(1-5),407.0,"321,322",easyocr+label_targeted_row_lookup,0.9671,auto_extracted,
말레이시아,1-16,호감도,뷰티,5점 척도 평균(점),4.04,score(1-5),419.0,"321,322",easyocr+label_targeted_row_lookup,0.7536,auto_extracted,
말레이시아,1-16,호감도,음식,5점 척도 평균(점),4.07,score(1-5),425.0,"321,322",easyocr+label_targeted_row_lookup,0.6556,auto_extracted,
말레이시아,1-16,호감도,한국어,5점 척도 평균(점),4.16,score(1-5),296.0,"321,322",easyocr+label_targeted_row_lookup,0.7838,auto_extracted,
말레이시아,1-16,호감도,전반적 만족도,5점 척도 평균(점),4.02,score(1-5),730.0,"321,322",easyocr+label_targeted_row_lookup,0.9994,auto_extracted,
말레이시아,1-33,관심도,,본인 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.66,score(1-5),730.0,356,easyocr+label_targeted_row_lookup,0.6071,auto_extracted,
말레이시아,1-33,관심도,,본인 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.64,score(1-5),730.0,356,easyocr+label_targeted_row_lookup,0.9973,auto_extracted,
말레이시아,1-33,관심도,,자국민 관심도 변화 (1년 전 대비) - 5점 척도 평균(점),3.84,score(1-5),730.0,356,easyocr+label_targeted_row_lookup,0.9936,auto_extracted,
말레이시아,1-33,관심도,,자국민 관심도 변화 (1년 후 예상) - 5점 척도 평균(점),3.81,score(1-5),730.0,356,easyocr+label_targeted_row_lookup,0.9956,auto_extracted,
말레이시아,1-33,관심도,,본인 소비지출 의향 변화 (1년 전 대비) - 5점 척도 평균(점),3.42,score(1-5),730.0,356,easyocr+label_targeted_row_lookup,0.9345,auto_extracted,
말레이시아,1-33,관심도,,본인 소비지출 의향 변화 (1년 후 예상) - 5점 척도 평균(점),3.43,score(1-5),730.0,356,easyocr+label_targeted_row_lookup,0.8883,auto_extracted,
말레이시아,1-35,인식변화,,매우 부정적으로 변함,0.0,%,730.0,358,easyocr+label_targeted_row_lookup,0.6184,auto_extracted,
말레이시아,1-35,인식변화,,약간 부정적으로 변함,2.9,%,730.0,358,easyocr+label_targeted_row_lookup,0.7116,auto_extracted,
말레이시아,1-35,인식변화,,변화 없음,26.6,%,730.0,358,easyocr+label_targeted_row_lookup,0.7751,auto_extracted,
말레이시아,1-35,인식변화,,약간 긍정적으로 변함,50.0,%,730.0,358,easyocr+label_targeted_row_lookup,1.0,auto_extracted,
말레이시아,1-35,인식변화,,매우 긍정적으로 변함,20.5,%,730.0,358,easyocr+label_targeted_row_lookup,1.0,auto_extracted,
말레이시아,1-35,인식변화,,5점 척도 평균(점),3.88,score(1-5),730.0,358,easyocr+label_targeted_row_lookup,0.5579,auto_extracted,
말레이시아,1-41,관광경험,,한국 관광 - 구매(방문) 경험률(%),40.1,%,730.0,361,easyocr+label_targeted_row_lookup,0.663,auto_extracted,
말레이시아,1-41,관광경험,,한국 관광 - 평균 구매(방문) 횟수(회),1.12,회,730.0,361,easyocr+label_targeted_row_lookup,0.9999,auto_extracted,
