survey,page,topic,base_desc,group,segment,sample_n,item,value
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,50대,277,4. 대체로 만족,56.9
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,50대,277,5. 매우 만족,31.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,50대,277,긍정응답 (4+5) 비율,88.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,50대,277,5점 평균 (점),4.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,60세 이상,328,1. 매우 불만족,1.6
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,60세 이상,328,2. 대체로 불만족,2.8
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,60세 이상,328,3. 보통,10.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,60세 이상,328,4. 대체로 만족,46.8
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,60세 이상,328,5. 매우 만족,38.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,60세 이상,328,긍정응답 (4+5) 비율,85.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,60세 이상,328,5점 평균 (점),4.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 15~19세,63,1. 매우 불만족,1.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 15~19세,63,2. 대체로 불만족,1.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 15~19세,63,3. 보통,11.6
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 15~19세,63,4. 대체로 만족,38.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 15~19세,63,5. 매우 만족,47.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 15~19세,63,긍정응답 (4+5) 비율,85.7
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 15~19세,63,5점 평균 (점),4.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 20대,214,1. 매우 불만족,3.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 20대,214,2. 대체로 불만족,3.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 20대,214,3. 보통,12.9
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 20대,214,4. 대체로 만족,36.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 20대,214,5. 매우 만족,44.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 20대,214,긍정응답 (4+5) 비율,80.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 20대,214,5점 평균 (점),4.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 30대,253,1. 매우 불만족,1.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 30대,253,2. 대체로 불만족,2.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 30대,253,3. 보통,5.9
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 30대,253,4. 대체로 만족,45.4
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 30대,253,5. 매우 만족,45.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 30대,253,긍정응답 (4+5) 비율,90.9
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 30대,253,5점 평균 (점),4.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 40대,157,1. 매우 불만족,0.6
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 40대,157,2. 대체로 불만족,1.0
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 40대,157,3. 보통,12.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",성별&연령별,남성 40대,157,4. 대체로 만족,41.5
